date,mid_price
32:15.4,18968.7
32:15.5,18968.7
32:15.6,18968.65
32:15.7,18968.645
32:15.8,18970.685
32:15.9,18971.165
32:16.0,18970.79
32:16.1,18970.75
32:16.2,18970.665
32:16.3,18970.665
32:16.4,18970.85
32:16.5,18970.685
32:16.6,18970.465
32:16.7,18970.82
32:16.8,18970.845
32:16.9,18970.845
32:17.0,18970.66
32:17.1,18970.665
32:17.2,18970.665
32:17.3,18970.67
32:17.4,18970.66
32:17.5,18970.825
32:17.6,18971.51
32:17.7,18971.335
32:17.8,18971.19
32:17.9,18971.19
32:18.0,18971.19
32:18.1,18971.14
32:18.2,18970.61
32:18.3,18969.685
32:18.4,18969.94
32:18.5,18969.9
32:18.6,18969.78
32:18.7,18969.705
32:18.8,18969.705
32:18.9,18969.71
32:19.0,18969.82
32:19.1,18969.86
32:19.2,18970.395
32:19.3,18970.17
32:19.4,18970.17
32:19.5,18970.2
32:19.6,18970.175
32:19.7,18970.465
32:19.8,18970.46
32:19.9,18970.405
32:20.0,18970.485
32:20.1,18970.41
32:20.2,18970.415
32:20.3,18970.41
32:20.4,18970.41
32:20.5,18970.36
32:20.6,18970.355
32:20.7,18970.17
32:20.8,18970.39
32:20.9,18970.61
32:21.0,18970.665
32:21.1,18970.955
32:21.2,18970.57
32:21.3,18970.555
32:21.4,18970.575
32:21.5,18970.73
32:21.6,18970.565
32:21.7,18970.755
32:21.8,18970.785
32:21.9,18970.785
32:22.0,18970.67
32:22.1,18970.665
32:22.2,18970.68
32:22.3,18970.68
32:22.4,18970.615
32:22.5,18970.615
32:22.6,18970.59
32:22.7,18970.595
32:22.8,18970.56
32:22.9,18970.56
32:23.0,18971.02
32:23.1,18970.81
32:23.2,18970.825
32:23.3,18970.17
32:23.4,18970.215
32:23.5,18970.035
32:23.6,18970.01
32:23.7,18970.01
32:23.8,18970.045
32:23.9,18970.015
32:24.0,18970.015
32:24.1,18970.02
32:24.2,18970
32:24.3,18969.995
32:24.4,18969.995
32:24.5,18969.995
32:24.6,18969.99
32:24.7,18969.965
32:24.8,18969.97
32:24.9,18969.99
32:25.0,18970.215
32:25.1,18970.16
32:25.2,18969.85
32:25.3,18969.27
32:25.4,18969.23
32:25.5,18969.17
32:25.6,18967.92
32:25.7,18968.33
32:25.8,18968.515
32:25.9,18968.945
32:26.0,18969.435
32:26.1,18969.43
32:26.2,18969.405
32:26.3,18969.44
32:26.4,18969.405
32:26.5,18969.44
32:26.6,18969.45
32:26.7,18969.48
32:26.8,18969.515
32:26.9,18969.535
32:27.0,18969.54
32:27.1,18969.545
32:27.2,18969.52
32:27.3,18969.53
32:27.4,18969.54
32:27.5,18970.18
32:27.6,18970.83
32:27.7,18971.31
32:27.8,18970.655
32:27.9,18970.685
32:28.0,18970.63
32:28.1,18970.935
32:28.2,18971.025
32:28.3,18970.865
32:28.4,18970.9
32:28.5,18970.825
32:28.6,18970.815
32:28.7,18970.81
32:28.8,18970.81
32:28.9,18970.72
32:29.0,18970.73
32:29.1,18970.73
32:29.2,18970.745
32:29.3,18970.74
32:29.4,18970.745
32:29.5,18970.785
32:29.6,18970.745
32:29.7,18971.07
32:29.8,18971.765
32:29.9,18971.76
32:30.0,18971.5
32:30.1,18971.49
32:30.2,18971.235
32:30.3,18970.665
32:30.4,18970.93
32:30.5,18970.865
32:30.6,18970.885
32:30.7,18970.89
32:30.8,18970.9
32:30.9,18970.9
32:31.0,18970.9
32:31.1,18970.91
32:31.2,18971.01
32:31.3,18970.995
32:31.4,18971.02
32:31.5,18971.09
32:31.6,18971.195
32:31.7,18971.2
32:31.8,18971.24
32:31.9,18971.315
32:32.0,18971.235
32:32.1,18971.29
32:32.2,18971.29
32:32.3,18971.19
32:32.4,18971.26
32:32.5,18971.285
32:32.6,18971.105
32:32.7,18970.865
32:32.8,18970.86
32:32.9,18971.59
32:33.0,18971.645
32:33.1,18971.67
32:33.2,18971.675
32:33.3,18971.78
32:33.4,18971.825
32:33.5,18972.22
32:33.6,18972.22
32:33.7,18972.22
32:33.8,18972.22
32:34.0,18972.22
32:34.1,18972.235
32:34.1,18971.865
32:34.2,18971.865
32:34.3,18971.87
32:34.5,18971.875
32:34.6,18971.875
32:34.7,18972.33
32:34.8,18972.165
32:34.9,18972.18
